Rank,Name,School,Grade,Position,Height,Weight,40 Time,Conference,Projected Round,Projected Team,Strengths,Weaknesses,Analysis,,
64,Brian Parker II,DUKE,3.58,G,N/A,N/A,N/A,ACC,4th,TBD,"Fundamentally sound college right tackle who projects to guard or center. Patient, stays square and effectively out-positions defenders from the action. Blocks with a nasty attitude, gets after assignments and works to finish off opponents. Displays range off the edge, effectively uses angles and blocks with leverage. Patient in pass protection, keeps his head on a swivel and works well with linemates. Shows the ability to adjust or redirect on twists or stunts and keeps his feet and hands active.",Must get stronger and do a better job finishing blocks. Sometimes late with his hands.,"Parker is a mobile lineman who would be best in a zone-blocking system, but he must improve his playing strength and ultimately learn a new position on Sundays.",,
64,Dom Orange,ISU,3.58,DT,"6'1.5""",325,5.21,BIG 12,4th,TBD,"Powerful, wide-bodied defensive lineman who is suited to play nose tackle. Plays with great pad level, consistently gets leverage on blockers and easily holds his ground. Fires off the snap with a terrific first step, works his hands throughout the action and attracts double and sometimes triple-team blocks in the middle of the line. Plays with a nasty attitude, goes hard after ball carriers and moves well for a big lineman. Tough to stop, powerful in his lower body and knocks blockers off the line of scrimmage.",Must develop additional moves to get off blocks. Easily tied up at the point. Not much of a playmaker and has totaled one sack and seven TFLs the past three years.,"Orange is a rough-and-tumble defensive lineman who does the little things well and plays to his size. More of a gap occupier, he's a zero-technique lineman who can be used at nose tackle or over the center.",,
64,Earl Little Jr.,FSU,3.58,S,N/A,N/A,N/A,ACC,4th,TBD,N/A,N/A,N/A,,
64,Kevin Coleman Jr.,MIZZ,3.58,WR,"5'10""",180,4.48,SEC,4th,TBD,N/A,N/A,N/A,,
64,Michael Trigg,BAY,3.58,TE,"6'3.5""",252,4.68,BIG 12,4th,TBD,"Athletic tight end prospect who impacts games as a downfield pass catcher. Moves well around the field, plays to his 40 time and gets down the flanks for big plays. Tracks the pass in the air and battles opponents to separate. Gets vertical and high-points the throw over defenders. Adjusts to the errant throw, catches the ball with his hands away from his frame and comes away with a lot of difficult receptions. Solid route runner who stays low exiting breaks and uses his large frame to shield away opponents. Flashes the ability to snatch the ball out of the air with strong hands.",Doesn't seem to play with a sense of urgency. Does not work to finish blocks. Seems to give up on plays and sometimes loses out on receptions when he should not.,"Trigg has flashed dominance the past two years and has the ability to be a productive move tight end on Sundays. He comes with tremendous upside, but he must play to his ability on every single down if he wants a long career in the NFL.",,
65,Billy Schrauth,ND,3.57,G,"6'5""",310,N/A,IND,4th,TBD,N/A,N/A,N/A,,
65,Cole Payton,NDSU,3.57,QB,"6'2.5""",228,4.65,D-IAA,4th,TBD,"First-year starter who is coming off a terrific campaign. Possesses next-level size and is also athletic. Patient in the pocket, remains poised under the rush and quickly identifies the open wideout. Possesses a live arm, puts speed on all his throws and drives deep passes downfield to allow receivers to run to the ball. Goes through receiver progressions and consistently takes the safe underneath outlet when nothing else is available. Stands in against the rush to get the throw away, spreads the ball around and uses all his targets. Keeps his eyes downfield even when rolling outside the pocket.","Possesses a small body of work and was just a one-year starter. Delivers the ball with a slow, funky release. While he flashes accuracy, he must improve his overall pass placement.","Payton did a terrific job taking over the starting duties at North Dakota State until being injured during the team's playoff loss against Illinois State. Finishing the year with 16 touchdown passes to only four interceptions as well as 2,719 yards, he proved to have the physical skills to play on Sundays, but he is still an unfinished product and will need time before he's NFL-ready.",,
65,Ja'Kobi Lane,USC,3.57,WR,"6'4""",195,N/A,BIG 10,4th,TBD,N/A,N/A,N/A,,
65,Julian Neal,ARK,3.57,CB,N/A,N/A,N/A,SEC,4th,TBD,N/A,N/A,N/A,,
65,Ray Benny,MICH,3.57,DT,"6'3""",296,5.08,BIG 10,4th,TBD,N/A,N/A,N/A,,
66,Treydan Stukes,ARIZ,3.56,CB,"6'0.5""",196,4.43,BIG 12,4th,TBD,"Nice-sized cornerback who effectively returned from injury to have a career year. Patient, quickly locates the ball handler and fires upfield to defend the run. Quick-footed in reverse and smooth flipping his hips in transition. Displays a closing burst as well as recovery speed. Battles receivers throughout the route, works to track the pass in the air and has an explosive burst to the ball. Quickly picks up assignments in coverage, effectively covers crossing patterns and nicely times pass defenses.",Gets a bit tall tackling at times. Knee injury that limited him to four games in 2024 must be checked out.,"Stukes has been a force for Arizona when fully healthy, defending 10 passes as a junior then intercepting four throws last year. He possesses tremendous upside and the ability to develop into a full-time starting cornerback if properly coached.",,
67,Austin Barber,FLA,3.55,T,"6'7""",315,5.28,SEC,4th,TBD,N/A,N/A,N/A,,
67,Bud Clark,TCU,3.55,S,"6'1.5""",189,4.52,BIG 12,4th,TBD,"Intelligent and competitive defensive back who was a productive four-year starter at TCU. Quickly diagnoses plays, displays a sense of timing in coverage and makes a lot of plays on the football. Communicates well with teammates in the secondary, shows outstanding recognition and comes off assignments to make the tackle. Keeps the action in front of him and displays a straight line burst of speed and a sense of timing in coverage. Played extremely well during Senior Bowl practices and was the best defensive back on the field.",Deep speed may be a concern. Labors running downfield with opponents. Slow shedding blocks.,"Clark was a terrific college safety who intercepted 15 passes and defended 35 during his four years at TCU. He was also a terrific run defender, accumulating 123 tackles the past two years. He wont wow anyone with his testing numbers and may struggle lining up as a true center fielder, yet Clark has starting potential at the next level in a zone or two-deep system.",,
67,Keylan Rutledge,GT,3.55,G,"6'4""",309,N/A,ACC,4th,TBD,"Two-year starter who began his college career at Middle Tennessee. Tough, hard-working blocker who gets the most from his ability. Possesses great field vision, always looks for someone to hit and plays with a nasty attitude. Sets with a wide base, bends his knees and blocks with terrific leverage. Strong, controls defenders at the point of attack and moves them off the line to open running lanes. Patient in pass protection, stays square and easily anchors at the point.",Shows some ability blocking in motion but isnt quick or fluid pulling across the line of scrimmage or effective on the second level. Doesn't have the size you want in a pure power blocker or the athleticism necessary for a zone scheme.,"Rutledge was a terrific college lineman who showed consistency in his game. He won't wow teams with great testing numbers, yet hes a Day 3 prospect with the toughness and intellect to be a starter on Sundays.",,
68,Barion Brown,LSU,3.54,WR,N/A,N/A,N/A,SEC,4th,TBD,N/A,N/A,N/A,,
68,Carson Beck,MIA,3.54,QB,"6'4""",223,4.77,ACC,4th,TBD,"Big, strong-armed pocket passer who played incredibly well during the College Football Playoff. Patient in the pocket, steps up to avoid the rush and throws a catchable deep pass. Puts long throws in front of receivers and lets them run to the ball. Possesses the arm strength to get the ball downfield and puts speed on all his throws. Sells ball fakes, quickly locates the open wideout and is effective when he goes through progressions. Stays with the action, works to make positive plays and takes the safe underneath outlet when nothing else is available. Nicely sets up screen throws, remains poised under the rush and uses an effective double-pump to allow receivers to come free. Possesses a quick release and throws with an over-the-top delivery.",Streaky. Has thrown 23 interceptions the past two seasons. Will stare down the primary target on occasion. Not consistently on the same page as receivers. Has a lot of passes knocked away or dropped by targets.,"Beck was a highly rated signal caller who, for the most part, failed to live up to expectations until his incredible run through the College Football Playoff. He possesses the arm strength and the ability to make all the throws, yet he will have to stay away from bad passes, interceptions and inconsistent play to be a productive starting quarterback on Sundays.",,
68,Darrell Jackson Jr.,FSU,3.54,DT,"6'5.5""",338,5.13,ACC,4th,TBD,"Large gap-occupying lineman with potential at nose tackle. Possesses outstanding size and starts with excellent knee bend. Powerful and explosive at the point. Effective with his hands and keeps them active throughout the action. Bull-rushes opponents off the line, stands up blockers and make plays against the run or knocks away passes. Attracts double-team blocks yet chases hard and works to make plays. Dominated opponents in one-on-one drills at practices for both the Senior and Shrine Bowls.",Inconsistent getting off the snap. Best in a box and doesnt show ability in pursuit. Gets locked up in blocks once engaged with opponents.,Jackson is a powerful space eater who also shows ability defending the run and accumulated 77 tackles the past two seasons. He offers possibilities as a nose or zero-technique tackle in a three-man line and is a defender who does the dirty work on the inside.,,
68,Le'Veon Moss,TAMU,3.54,RB,"5'10.5""",208,4.46,SEC,4th,TBD,N/A,N/A,N/A,,
69,Garrett Nussmeier,LSU,3.53,QB,"6'0.5""",204,4.75,SEC,4th,TBD,N/A,N/A,N/A,,
69,Jonah Coleman,WASH,3.53,RB,"5'8.5""",228,4.53,BIG 10,4th,TBD,N/A,N/A,N/A,,
69,Zxavian Harris,MISS,3.53,DT,"6'7""",330,5.22,SEC,4th,TBD,N/A,N/A,N/A,,
70,Romello Height,TTU,3.52,OLB,"6'2.5""",234,4.72,BIG 12,4th,TBD,"Undersized college defensive end who projects as a pass-rushing linebacker at the next level. Agile, breaks down well and effectively moves in any direction. Athletic and plays with consistent knee bend. Bends the edge with speed and gets a lot of momentum going upfield. Uses his hands well, displays a variety of moves and shows a nice shoulder dip that allows him to get underneath blockers. Keeps his feet moving, fluidly pursues laterally against the run and displays good footwork in reverse dropping into coverage.","Lacks bulk, struggles to get off blocks and gets out-positioned from the action rather easily. Played at three different programs, Auburn, USC and Georgia Tech, before arriving at Texas Tech. Possesses average size/speed numbers.","Height was an overall defender for Texas Tech last season who made a lot of big plays when needed. He lacks the upside of many of his Red Raiders teammates, but he should be a solid complementary situational pass rusher who primarily stands over tackle.",,
70,Trey Zuhn III,TAMU,3.52,C,"6'6.5""",317,5.25,SEC,4th,TBD,N/A,N/A,N/A,,
70,Will Lee III,TAMU,3.52,CB,"6'1""",192,4.41,SEC,4th,TBD,N/A,N/A,N/A,,
71,Albert Regis,TAMU,3.51,DT,"6'1""",307,5.08,SEC,4th,TBD,N/A,N/A,N/A,,
71,De'Zhaun Stribling,MISS,3.51,WR,"6'1.5""",206,4.53,SEC,4th,TBD,N/A,N/A,N/A,,
71,Jude Bowry,BC,3.51,T,"6'5""",312,N/A,ACC,4th,TBD,"Athletic pass-blocking left tackle who fires off the snap, displays terrific blocking vision and keeps his head on a swivel. Fundamentally sound, quickly recognizes assignments and blocks with excellent knee bend as well as leverage. Patient in pass protection, correctly places his hands into defenders and steers them from the action. Displays a quick kick-step off the snap, shows solid footwork off the edge and does an excellent job with angles. Explosive as a run blocker and gives effort.",Struggled with injury in a disappointing final season. Gets knocked around by bigger opponents. Must improve his overall playing strength.,"Bowry was graded as a potential Day 2 selection entering the season, yet he never lived up to expectations for a variety of reasons and now projects as a Day 3 pick. He possesses a terrific amount of upside at left tackle, but he must get stronger and improve from his terrific sophomore season.",,
72,Skyler Bell,CONN,3.5,WR,"5'11""",186,4.48,IND,4th or 5th,TBD,N/A,N/A,N/A,,
73,A.J. Haulcy,LSU,3.49,S,"6'0""",215,N/A,SEC,4th or 5th,TBD,N/A,N/A,N/A,,
73,Oscar Delp,UGA,3.49,TE,"6'4.5""",251,4.76,SEC,4th or 5th,TBD,N/A,N/A,N/A,,
74,Dametrious Crownover,TAMU,3.48,T,"6'6.5""",338,5.21,SEC,5th,TBD,N/A,N/A,N/A,,
74,Gracen Halton,OU,3.48,DT,"6'2""",295,5.1,SEC,5th,TBD,N/A,N/A,N/A,,
74,Harrison Wallace III,MISS,3.48,WR,"5'11.5""",195,4.48,SEC,5th,TBD,N/A,N/A,N/A,,
74,Jam Miller,ALA,3.48,RB,"5'9.5""",215,4.48,SEC,5th,TBD,N/A,N/A,N/A,,
74,Max Llewellyn,IOWA,3.48,DE,"6'5""",262,4.72,BIG 10,5th,TBD,N/A,N/A,N/A,,
74,Taylen Green,ARK,3.48,QB,"6'5.5""",221,4.62,SEC,5th,TBD,N/A,N/A,N/A,,
75,Chris McClellan,MIZZ,3.47,DT,"6'3""",317,5.21,SEC,5th,TBD,N/A,N/A,N/A,,
75,Keionte Scott,MIA,3.47,CB,"5'10.5""",191,4.55,ACC,5th,TBD,"Auburn transfer who is coming off a career season at Miami where he was a jack of all trades. Tough, instinctive and does a great job diagnosing plays. Fires up the field to defend the run, wraps up tackling and brings ball handlers down in the open field. Forceful on the blitz. Displays great anticipation in coverage, tracks the pass in the air and has an outstanding move to the throw. Shows good route recognition in zone and possesses a terrific closing burst to the action as well as good hands for the interception. Flies around the field and sacrifices his body to make the play. Finished with 61 tackles, 14 TFLs and five sacks last season while also intercepting two passes and breaking up five more.",Used almost solely in a zone system facing the action and was rarely asked to play man coverage. Comes with average size/speed numbers.,Scott was an indomitable force on the Hurricanes defense and was responsible for many of their big plays throughout the season and during the College Football Playoff. He has a versatile game and looks as though hed be a terrific dime back in zone coverage who can be used at both cornerback or safety.,,
76,Davison Igbinosun,OSU,3.46,CB,"6'2""",191,4.45,BIG 10,5th,TBD,N/A,N/A,N/A,,
76,Eli Raridon,ND,3.46,TE,"6'5.5""",252,4.73,IND,5th,TBD,N/A,N/A,N/A,,
76,Jaeden Roberts,ALA,3.46,G,"6'4""",323,5.32,SEC,5th,TBD,N/A,N/A,N/A,,
76,Kaden Wetjen,IOWA,3.46,WR,"5'9""",195,4.45,BIG 10,5th,TBD,N/A,N/A,N/A,,
76,Lander Barton,UTAH,3.46,ILB,"6'4""",233,4.66,BIG 12,5th,TBD,"Athletic linebacker with a complete game who failed to meet expectations last season. Tough, disciplined and plays heads-up football. Stays with assignments, shows quickness in his all-around game and easily changes direction. Does not bite on ball fakes, shows speed in pursuit and moves fluidly in any direction. Quick flipping his hips in coverage to transition downfield, gets depth on pass drops and immediately picks up assignments. Breaks down well and gives effort defending the run. Wraps up tackling and brings ball handlers down in the open field. Occasionally lined up at tight end as a senior.",Not forceful on the blitz. Occasionally takes himself out of the action. Struggles to get off blocks and gets consistently washed from the action despite his size.,"Barton possesses the size, speed and athleticism to start in a variety of defensive schemes on Sundays, yet he never elevated his game after a terrific junior season. He shows flashes of being a three-down defender, and if hes able to get back to where he was in 2024 then build upon it, Barton will be a Day 3 steal.",,
76,Sam Hecht,KSU,3.46,C,"6'4.5""",297,5.12,BIG 12,5th,TBD,"Two-year starter at center who displayed consistent improvement in his game. Shows excellent vision and awareness and is fundamentally sound. Bends his knees, keeps his feet moving in pass protection and stays square to seal defenders from the action. Quick to the second level and knocks linebackers from plays. Effective with the shotgun snap. Reads defenses, picks up the blitz and effectively gets his hands into defenders to knock them from their angles of attack. Relatively effective when asked to kick out or pull across the line of scrimmage and block in motion.",Must improve the strength of his base. Struggles to adjust on occasion.,Hecht is a mobile blocker on the pivot who possesses solid size as well as growth potential. He offers possibilities as a zone-blocking lineman and will only improve as he physically matures and adds strength to his game.,,
77,Josh Cameron,BAY,3.45,WR,"6'1.5""",223,4.52,BIG 12,5th,TBD,"Big-bodied possession receiver with long arms and big hands. Displays good short-area quickness, battles defenders and uses his hands as well as strength to separate. Tracks the pass in the air, gets vertical and uses his size as an advantage to out-muscle defenders for the reception. Comes back to the ball out of routes, extends his hands and offers the quarterback a target. Effectively makes the reception away from his frame. Competes. Effective blocking downfield.","Gathers himself in and out of breaks, which slows his route running. One-speed receiver who cannot stretch the defense. Unnecessarily lets the pass get inside him on occasion.","Cameron is a terrific story who walked onto Baylor then showed consistent improvement the past three seasons. A terrific red-zone threat, he combined for 19 touchdowns the past two years. He's a classic possession wideout who consistently wins out for the contested throw and would be best in the short or intermediate passing game.",,
77,Kage Casey,BSU,3.45,T,N/A,N/A,N/A,M-WEST,5th,TBD,N/A,N/A,N/A,,
77,Logan Jones,IOWA,3.45,C,"6'2.5""",299,5.09,BIG 10,5th,TBD,N/A,N/A,N/A,,
77,Mike Washington Jr.,ARK,3.45,RB,"6'0.5""",225,4.68,SEC,5th,TBD,N/A,N/A,N/A,,
77,Nate Boerkircher,NEB,3.45,TE,N/A,N/A,N/A,SEC,5th,TBD,N/A,N/A,N/A,,
77,Sawyer Robertson,BAY,3.45,QB,"6'3.5""",221,4.77,BIG 12,5th,TBD,"Smart, poised quarterback who has thrown a lot of touchdowns the past two seasons. Patient in the pocket, senses the rush and steps up to avoid defenders. Reads defenses, scans the field and does not make adverse decisions under the rush. Spreads the ball around using all his targets, displays terrific speed as well as zip on short and intermediate passes and does make receivers wait for the ball to arrive. Displays a sense of timing and flashes brilliant accuracy as well as the ability to put throws where only his receivers can make the reception. Goes to the safe underneath outlet when nothing else is available.","Not an elusive quarterback or a threat to pick up yardage with his legs. Lacks a big-time arm, tries to put extra speed on passes and throws high of the mark when he presses.","Robertson was productive on the college level the past two seasons, combining for 6,652 yards passing and 59 TDs. His stats benefited from a lot of short receiver screens, but Robertson has poise and brain to be a No. 2 quarterback on Sundays.",,
78,Blake Miller,CLEM,3.44,T,"6'6.5""",315,5.18,ACC,5th,TBD,"Nice-sized right tackle prospect who is best in a small area. Sets with a wide base, quickly sets up in pass protection and immediately gets his hands into opponents. Keeps his head on a swivel and works well with linemates. Big-bodied blocker who blocks down on defenders or smothers them from the action altogether. Stays square and seals defenders from the action, keeps his feet moving and makes good use of angles.","Stiff in pass protection, marginally effective in motion and does not play like a top athlete.","Miller is a hard-working lineman with both size as well as growth potential who is coming off a disappointing season. He possesses an upside and is worth considering on day three of the draft, though Miller may never be anything other than an occasional starter on Sundays.",,
78,Chandler Rivers,DUKE,3.44,CB,"5'8.5""",185,4.46,ACC,5th,TBD,"Small but skilled cornerback who offers potential in a variety of schemes. Quick flipping his hips in transition, smooth moving in reverse and battles receivers throughout the route. Gets his head back around to track the pass in the air, possesses an explosive closing burst and works hard to defend passes. Fires up the field to defend screen throws and gives effort against the run.","Gives up inside leverage to opponents and struggles covering crossing patterns. A bit slow out of his transition. Short, which results in mismatches.",Rivers was a productive two-year starter for Duke and projects as a starting dime back on Sundays while offering value on special teams.,,
78,Justin Joly,NCST,3.44,TE,"6'3""",250,4.64,ACC,5th,TBD,"Athletic pass-catching tight end who flashes next-level ability. Quickly gets into routes, stays low exiting breaks and follows the quarterback across the field to make himself an available target. Displays good route discipline, consistently finds the open seam in the defense and uses his hands to separate from defenders. Displays eye/hand coordination, adjusts to the errant throw and extends to make the catch away from his frame. Bends his knees as a blocker, squares into defenders and seals opponents from the action.",Double-catches too many throws and does not cleanly snatch the ball from the air. Must improve his route-running balance. Does not finish off opponents blocking and displays average playing strength.,"Joly was graded as a potential Day 2 choice coming into the season and has been productive the past two years, totaling a combined 92 receptions for 1,150 yards and 11 TDs. While he shows flashes of next-level ability, he really needs to polish his game and prove he's a natural hands catcher. I expect Joly to be selected in the middle of Day 3, and though he possesses upside, he must take his game to the next level to see substantial playing time on Sundays.",,
78,Lewis Bond,BC,3.44,WR,"5'10.5""",190,4.53,ACC,5th,TBD,"Productive pass catcher who displayed steady progression in his game the past three seasons. Smooth, fluid and very natural at the position. Tracks the pass in the air, displays a sense of timing and is effective running after the catch. Displays excellent route discipline, possesses eye/hand coordination and plays with excellent awareness. Follows the quarterback across the field and finds the open spot in the defense to make himself an available target. Consistently extends to make the reception away from his frame and battles opponents. Effective underneath receiver who does a terrific job making the catch on crossing patterns.",Plays to one speed and lacks the deep burst. Possesses a smaller build.,Bond was a productive receiver at Boston College the past three years and finished with a career-best 80 receptions for 993 yards as a senior. He'll be a solid Day 3 pick and a nice addition to an NFL roster as a fourth or fifth receiver.,,
78,Wade Woodaz,CLEM,3.44,ILB,"6'3""",232,4.62,ACC,5th,TBD,"Instinctive and hard-working linebacker with a complete game. Effectively communicates with teammates, makes the defensive calls and quickly locates the ball handler. Fluid moving in any direction, displays lateral speed to get to the sidelines and takes good angles to the play. Stays with coverage assignments, gets depth on pass drops and possesses solid ball skills. Efficient, quickly collapses outside-in to defend the run and makes plays in space. Does not bite on ball fakes, chases the action hard and gets the most from his ability.",Possesses a thin build and struggles handling blocks. Lacks elite linebacker speed. Struggled with injury last season and watched his play drop off.,Woodaz was a full-time starter at Clemson the past two seasons when he totaled 153 tackles and 17 TFLs while breaking up eight passes. He possesses a complete game and offers potential as a three-down linebacker in a variety of schemes.,,
78,Zakee Wheatley,PSU,3.44,S,"6'2.5""",200,4.62,BIG 10,5th,TBD,N/A,N/A,N/A,,
79,J.C. Davis,ILL,3.43,T,"6'4.5""",334,5.12,BIG 10,5th,TBD,N/A,N/A,N/A,,
79,Lake McRee,USC,3.43,TE,"6'3.5""",250,4.71,BIG 10,5th,TBD,N/A,N/A,N/A,,
79,Taurean York,TAMU,3.43,ILB,N/A,N/A,N/A,SEC,5th,TBD,N/A,N/A,N/A,,
79,Ted Hurst,GSU,3.43,WR,"6'2.5""",195,4.51,SUN BELT,5th,TBD,N/A,N/A,N/A,,
80,Aaron Anderson,LSU,3.42,WR,"5'8""",187,N/A,SEC,5th,TBD,N/A,N/A,N/A,,
80,Dae'Quan Wright,MISS,3.42,TE,"6'3""",249,4.63,SEC,5th,TBD,N/A,N/A,N/A,,
80,Emmett Johnson,NEB,3.42,RB,N/A,N/A,N/A,BIG 10,5th,TBD,N/A,N/A,N/A,,
80,Eric Singleton Jr.,AUBURN,3.42,WR,"5'10""",173,N/A,SEC,5th,TBD,N/A,N/A,N/A,,
80,Logan Fano,UTAH,3.42,DE,"6'4.5""",258,4.62,BIG 12,5th,TBD,"Athletic and mobile edge rusher who is effective out of a three-point stance and standing over tackle. Explodes off the snap out of a three-point stance, plays with great pad level and gets leverage on opponents. Displays a quick inside move, immediately alters his angle of attack and nicely redirects to ball handlers. Bends off the edge, shows speed from the back side and has a closing burst. Effective out of a three-point stance, uses his hands well and makes plays behind the line of scrimmage and outside the box. Keeps his feet moving and plays with good lean. Relatively effective in space, gets depth on pass drops and covers a lot of area on the field.",Easily controlled at the point by a single blocker or washed from the action and knocked from his angle of attack. Does not have great pass-rushing numbers and totaled just 10.5 sacks and 18 TFLs the past three years.,"Fano is a mobile and athletic pass rusher with upside, but he must get bigger as well as stronger to have a chance of seeing the field on Sundays.",,
81,Anthony Smith,MINN,3.41,WR,"6'2""",190,4.43,BIG 10,5th,TBD,"Underrated receiver with next-level size, speed and pass-catching ability. Comes back to the football and extends his hands to make the reception away from his frame. Stays low exiting breaks, fights with his hands to separate from opponents and offers the quarterback a target. Lays out or extends and exposes himself for the difficult catch, adjusts to the errant throw and displays a sense of timing on receptions. Does a terrific job tracking the deep pass and making the reception in stride. Gives effort with blocking assignments. Performed well during the American Bowl, displaying himself as a legitimate downfield threat.",Possesses a thin build and struggles coming away with the contested grab. Does not show a second gear on the field despite his 40 time.,"Smith rarely saw playing time at North Carolina State before transferring to East Carolina, then broke out last season with 64 receptions for 1,053 yards and 17 TDs. He needs to improve his playing strength, yet he possesses all the skills necessary to be a fifth receiver on Sundays, and at the very least he should find his way onto practice squad next fall.",,
81,Bryce Boettcher,ORE,3.41,ILB,"6'0.5""",228,4.67,BIG 10,5th,TBD,N/A,N/A,N/A,,
81,DJ Campbell,TEX,3.41,G,"6'2.5""",315,5.29,SEC,5th,TBD,N/A,N/A,N/A,,
81,Damonic Williams,OU,3.41,DT,"6'1.5""",320,5.15,SEC,5th,TBD,N/A,N/A,N/A,,
81,Dillon Wade,AUB,3.41,G,"6'3""",300,5.24,SEC,5th,TBD,N/A,N/A,N/A,,
81,Jack Pyburn,LSU,3.41,DE,"6'2.5""",261,4.77,SEC,5th,TBD,N/A,N/A,N/A,,
82,Reggie Virgil,TTU,3.4,WR,"6'2.5""",188,4.45,BIG 12,5th or 6th,TBD,"Tall, thin receiver with reliable hands. Comes back to the quarterback to make himself an available target, tracks the pass in the air and consistently extends to make the reception away from his frame. Dependable hands catcher who snatches the ball out of the air and possesses eye/hand coordination. Outstanding open-field runner who is quick and elusive with the ball in his hands and incredibly effective on reverses. Nicely times receptions and high-points the ball over defenders.",Possesses a thin build and struggles in battles. Loses focus as well as concentration. Does not get results blocking.,"Virgil was a productive receiver the past two seasons, first for Miami of Ohio then last year at Texas Tech. He possesses enough ability to line up as a fourth wideout in the NFL and comes with return potential.",,
83,Chase Roberts,BYU,3.39,WR,"6'3""",216,4.57,BIG 12,5th or 6th,TBD,"Productive three-year starter with reliable hands and a solid game. Natural pass catcher who is intelligent and instinctive. Quickly releases off the line of scrimmage into pass routes and stays low exiting breaks. Settles into the open spot of the defense and comes back to the ball to make himself an available target. Possess a sense of timing and eye/hand coordination and uses the sidelines well. Plays with balance as well as body control. Tracks the pass in the air, gets vertical and high-points the ball over defenders. Possesses soft as well as strong hands and consistently plucks the ball away from his frame. Gives effort blocking downfield.","Plays to his 40 time, lacks the second gear and isnt a vertical threat. Displays limited quickness in his game.","Since stepping in with the first team as a sophomore, Roberts has been reliable and productive for BYU, coming up with important receptions during critical moments of the game. He's a traditional possession receiver who would flourish in a timing or West Coast offense.",,
83,Diego Pounds,MISS,3.39,T,"6'5.5""",335,5.19,SEC,5th or 6th,TBD,N/A,N/A,N/A,,
83,Keyshaun Elliott,ASU,3.39,ILB,"6'1.5""",232,4.63,BIG 12,5th or 6th,TBD,"Physical, hard-charging linebacker who gets the most from his ability. Fires upfield to defend the run, flows laterally to the sidelines and plays with reckless abandon. Breaks down well, willingly takes on blocks and uses his hands effectively. Quickly picks up coverage assignments, keeps the action in front of him and easily redirects to the play. Gets depth on pass drops, tracks the pass in the air and contorts or adjusts to defend or intercept the throw.",Takes too many steps and incorrect angles and overpursues plays on occasion. Plays to his 40 time and does not display outstanding pursuit speed.,"Elliott is a well-built, hard-charging defender who really gets after it and works hard to make plays. He does a little bit of everything well, yet he lacks the physical skills to be an early or mid-round choice. Elliott is a Day 3 selection who should find a home as a backup linebacker/special-teams player.",,
83,Matthew Hibner,SMU,3.39,TE,"6'5""",251,N/A,ACC,5th or 6th,TBD,"Michigan transfer who proved himself to be a solid downfield pass-catching threat this season. Quickly releases off the line into pass routes, tracks the ball in the air and adjusts backwards then extends to make the reception away from his frame. Displays good route discipline, works his hands to separate from defenders and battles to come away with the difficult catch. Bends his knees and stays square as a blocker and displays outstanding vision. Gives effort blocking and is effective on the second level or in motion.",Possesses average blocking strength and does not finish off opponents. Moderately productive throughout his college career.,"Hibner was off the scouting radar prior to the season, yet a productive 2025 when he made a lot of receptions downfield has scouts intrigued. He possesses nice length and offers possibilities as a move tight end or perhaps an H-back.",,
83,Thaddeus Dixon,UNC,3.39,CB,"6'0.5""",196,4.52,ACC,5th or 6th,TBD,N/A,N/A,N/A,,
84,Ar'Maj Reed-Adams,TAMU,3.38,G,"6'5""",342,5.35,SEC,6th,TBD,N/A,N/A,N/A,,
84,Eric Gentry,USC,3.38,ILB,"6'6.5""",225,4.72,BIG 10,6th,TBD,N/A,N/A,N/A,,
84,Eric McAlister,TCU,3.38,WR,"6'2""",202,4.5,BIG 12,6th,TBD,"Productive receiver who is coming off a career season. Fluid releasing off the line of scrimmage, quickly gets in and out of routes and effectively times receptions. Tracks the pass in the air, displays eye/hand coordination and flashes strong hands with the ability to pull the ball from the air. Consistently extends to make the reception away from his frame, adjusts or contorts to the errant throw and attracts a lot of attention of double teams in the secondary. Plays faster than his 40 time and beats defenders downfield. Terrific underneath receiver who makes the reception in stride.",Must do a better job coming back to the quarterback rather than waiting for the pass to get to him. Seems to give half-hearted efforts if he's not involved in the action. Loses focus and lets catchable throws slip through his hands.,"After a moderately productive junior campaign, McAlister watched his game take off last year, finishing the season with 72 receptions, 1,190 yards and 10 TDs. He possesses the ability necessary to be a third wideout on Sundays, but McAlister must give consistent effort and do the little things well to reach his potential.",,
84,Jake Slaughter,FLA,3.38,C,"6'5""",292,5.18,SEC,6th,TBD,N/A,N/A,N/A,,
84,Jalen Huskey,UMD,3.38,S,"6'1""",200,4.55,BIG 10,6th,TBD,N/A,N/A,N/A,,
84,Jeremiah Wright,AUB,3.38,G,"6'4.5""",338,5.32,SEC,6th,TBD,N/A,N/A,N/A,,
84,Justin Jefferson,ALA,3.38,ILB,"6'0.5""",220,4.57,SEC,6th,TBD,N/A,N/A,N/A,,
